exception_type,severity,entity_type,entity_id,quarter,breakpoint_layer,detail
missing_asset_rollup,high,asset,a1b2c3d4-0001-0010-0003-000000000005,2025Q4,asset_rollup,No re_asset_acct_quarter_rollup row found for sampled asset period.
missing_asset_rollup,high,asset,a1b2c3d4-0001-0010-0003-000000000006,2025Q4,asset_rollup,No re_asset_acct_quarter_rollup row found for sampled asset period.
missing_asset_rollup,high,asset,a1b2c3d4-0001-0010-0003-000000000007,2025Q4,asset_rollup,No re_asset_acct_quarter_rollup row found for sampled asset period.
missing_asset_rollup,high,asset,a1b2c3d4-0001-0010-0003-000000000008,2025Q4,asset_rollup,No re_asset_acct_quarter_rollup row found for sampled asset period.
missing_asset_rollup,high,asset,a1b2c3d4-0001-0010-0003-000000000009,2025Q4,asset_rollup,No re_asset_acct_quarter_rollup row found for sampled asset period.
missing_asset_rollup,high,asset,a1b2c3d4-0001-0010-0003-000000000010,2025Q4,asset_rollup,No re_asset_acct_quarter_rollup row found for sampled asset period.
missing_asset_rollup,high,asset,a1b2c3d4-0001-0010-0003-000000000005,2026Q2,asset_rollup,No re_asset_acct_quarter_rollup row found for sampled asset period.
missing_asset_rollup,high,asset,a1b2c3d4-0001-0010-0003-000000000006,2026Q2,asset_rollup,No re_asset_acct_quarter_rollup row found for sampled asset period.
missing_asset_rollup,high,asset,a1b2c3d4-0001-0010-0003-000000000007,2026Q2,asset_rollup,No re_asset_acct_quarter_rollup row found for sampled asset period.
missing_asset_rollup,high,asset,a1b2c3d4-0001-0010-0003-000000000008,2026Q2,asset_rollup,No re_asset_acct_quarter_rollup row found for sampled asset period.
missing_asset_rollup,high,asset,a1b2c3d4-0001-0010-0003-000000000009,2026Q2,asset_rollup,No re_asset_acct_quarter_rollup row found for sampled asset period.
missing_asset_rollup,high,asset,a1b2c3d4-0001-0010-0003-000000000010,2026Q2,asset_rollup,No re_asset_acct_quarter_rollup row found for sampled asset period.
fee_rule_missing_basis,high,fund,a1b2c3d4-0001-0010-0001-000000000001,2025Q4,fees,Management fee accrued for 2025Q4 before fund term effective_from 2026-01-15.
