row_id,entity_id,quarter,prior_state,new_state,snapshot_version,audit_run_id,trust_status,released_at,gross_irr,tvpi,superseded_by,canonical_version,canonical_released_at
573d17ee-9460-4d13-acb3-9517f72a7246,2d54b971-21ac-41b8-a548-a506fe516c6c,2025Q4,released,superseded,meridian-20260410T182315Z-3881843b,0a9b7b1f-7944-4c67-b1b2-e114ac5f12a0,trusted,2026-04-10 18:24:51.870747+00:00,,,013d66b0-1faf-41b3-9072-5ab3d74dc4e4,meridian-20260425T015634Z-bd0a25c2,2026-04-25 01:57:16.192316+00:00
afc45a63-19e8-4b8f-9a10-c008b1712f30,2d54b971-21ac-41b8-a548-a506fe516c6c,2026Q2,released,superseded,meridian-20260421T151330Z-325c3fa0,1663d1d7-69df-49fe-8f12-a9b77b039c6d,trusted,2026-04-23 15:24:00.283737+00:00,,,2562df7d-8969-415a-90de-acb684c5e968,meridian-20260425T015634Z-bd0a25c2,2026-04-25 01:57:16.192316+00:00
de7c3c15-5dd0-44ca-8f40-f16cb724c523,2d54b971-21ac-41b8-a548-a506fe516c6c,2026Q2,released,superseded,meridian-20260410T182315Z-3881843b,0a9b7b1f-7944-4c67-b1b2-e114ac5f12a0,trusted,2026-04-10 18:24:51.870747+00:00,,,2562df7d-8969-415a-90de-acb684c5e968,meridian-20260425T015634Z-bd0a25c2,2026-04-25 01:57:16.192316+00:00
0f5a7b62-e65d-4e7d-9011-a605606b3de6,594a1367-8109-49db-a353-44685fe6578e,2026Q2,released,superseded,meridian-20260421T151330Z-325c3fa0,1663d1d7-69df-49fe-8f12-a9b77b039c6d,trusted,2026-04-23 15:24:00.283737+00:00,,,b46f51dd-64da-435f-b901-4084587bac38,meridian-20260425T015634Z-bd0a25c2,2026-04-25 01:57:16.192316+00:00
bc66e51e-897e-49e2-ac5b-5f064c3ab88a,5b642a1e-feb7-4407-b38e-cdd2649c1b77,2026Q2,released,superseded,meridian-20260421T151330Z-325c3fa0,1663d1d7-69df-49fe-8f12-a9b77b039c6d,trusted,2026-04-23 15:24:00.283737+00:00,,,80b48e3e-412e-4f2f-9d41-8534a69c400b,meridian-20260425T015634Z-bd0a25c2,2026-04-25 01:57:16.192316+00:00
022833ee-a122-4504-8c58-1e0778e32dd4,6a793adf-cdfb-49f3-8a2e-440d38c48dea,2026Q2,released,superseded,meridian-20260421T151330Z-325c3fa0,1663d1d7-69df-49fe-8f12-a9b77b039c6d,trusted,2026-04-23 15:24:00.283737+00:00,,,dcfdf704-a85c-4a10-a5d9-9920944f6bf0,meridian-20260425T015634Z-bd0a25c2,2026-04-25 01:57:16.192316+00:00
d755f13a-0bf0-42fd-8483-ab5a84b7317c,6c6f1416-e1a4-43ff-bbe6-cad3967f97ff,2026Q2,released,superseded,meridian-20260421T151330Z-325c3fa0,1663d1d7-69df-49fe-8f12-a9b77b039c6d,trusted,2026-04-23 15:24:00.283737+00:00,,,11bce91f-39e8-44a7-b420-4e1189cf7131,meridian-20260425T015634Z-bd0a25c2,2026-04-25 01:57:16.192316+00:00
5fbe1a3b-558c-4437-a50c-a81614c8b5b7,6e5be7a6-b228-4031-8799-ed5ab01c92ff,2026Q2,released,superseded,meridian-20260421T151330Z-325c3fa0,1663d1d7-69df-49fe-8f12-a9b77b039c6d,trusted,2026-04-23 15:24:00.283737+00:00,,,6f9b6ba4-fa57-429b-97f6-271607b78167,meridian-20260425T015634Z-bd0a25c2,2026-04-25 01:57:16.192316+00:00
cea74efc-f715-4d08-bf7d-927f01efae4a,8d2128bf-d8d2-4c9f-bc7c-05f77d437767,2026Q2,released,superseded,meridian-20260421T151330Z-325c3fa0,1663d1d7-69df-49fe-8f12-a9b77b039c6d,trusted,2026-04-23 15:24:00.283737+00:00,,,01891ac1-fb09-4c18-81e8-bd67f556a161,meridian-20260425T015634Z-bd0a25c2,2026-04-25 01:57:16.192316+00:00
cfaf11d9-9c6a-46d7-9547-2e92fe75642d,8d87e8f7-9730-4f48-ab72-1ff741aa753a,2026Q2,released,superseded,meridian-20260421T151330Z-325c3fa0,1663d1d7-69df-49fe-8f12-a9b77b039c6d,trusted,2026-04-23 15:24:00.283737+00:00,,,31bcaada-b357-4dff-b424-2fa79a51bccd,meridian-20260425T015634Z-bd0a25c2,2026-04-25 01:57:16.192316+00:00
