row_type,asset_id,asset_name,quarter,period_month,gl_account,account_name,raw_amount,target_line_code,target_statement,sign_multiplier,standardized_category,mapped_amount,status,line_code,normalized_amount,revenue_total,opex_total,capex_total,noi,net_cash_flow,excluded_or_unmapped_total
ledger_entry,3371333b-a54a-46e3-b4d9-0ad8443dd6a9,Tech Campus North,2026Q4,2026-10-01,4000,Gross Rental Revenue,765484.130000000000,RENT,NOI,1,opex,765484.130000000000,mapped,,,,,,,,
ledger_entry,3371333b-a54a-46e3-b4d9-0ad8443dd6a9,Tech Campus North,2026Q4,2026-10-01,4000,Gross Rental Revenue,765484.130000000000,RENT,NOI,1,opex,765484.130000000000,mapped,,,,,,,,
ledger_entry,3371333b-a54a-46e3-b4d9-0ad8443dd6a9,Tech Campus North,2026Q4,2026-10-01,4000,Gross Rental Revenue,765484.130000000000,RENT,NOI,1,opex,765484.130000000000,mapped,,,,,,,,
ledger_entry,3371333b-a54a-46e3-b4d9-0ad8443dd6a9,Tech Campus North,2026Q4,2026-10-01,4100,Vacancy & Credit Loss,135085.430000000000,VACANCY,NOI,-1,opex,-135085.430000000000,mapped,,,,,,,,
ledger_entry,3371333b-a54a-46e3-b4d9-0ad8443dd6a9,Tech Campus North,2026Q4,2026-10-01,4100,Vacancy & Credit Loss,135085.430000000000,VACANCY,NOI,-1,opex,-135085.430000000000,mapped,,,,,,,,
ledger_entry,3371333b-a54a-46e3-b4d9-0ad8443dd6a9,Tech Campus North,2026Q4,2026-10-01,4100,Vacancy & Credit Loss,135085.430000000000,VACANCY,NOI,-1,opex,-135085.430000000000,mapped,,,,,,,,
ledger_entry,3371333b-a54a-46e3-b4d9-0ad8443dd6a9,Tech Campus North,2026Q4,2026-10-01,5000,Payroll & Benefits,106942.640000000000,PAYROLL,NOI,-1,opex,-106942.640000000000,mapped,,,,,,,,
ledger_entry,3371333b-a54a-46e3-b4d9-0ad8443dd6a9,Tech Campus North,2026Q4,2026-10-01,5000,Payroll & Benefits,106942.640000000000,PAYROLL,NOI,-1,opex,-106942.640000000000,mapped,,,,,,,,
ledger_entry,3371333b-a54a-46e3-b4d9-0ad8443dd6a9,Tech Campus North,2026Q4,2026-10-01,5000,Payroll & Benefits,106942.640000000000,PAYROLL,NOI,-1,opex,-106942.640000000000,mapped,,,,,,,,
ledger_entry,3371333b-a54a-46e3-b4d9-0ad8443dd6a9,Tech Campus North,2026Q4,2026-10-01,5100,Real Estate Taxes,64165.580000000000,TAXES,NOI,-1,opex,-64165.580000000000,mapped,,,,,,,,
ledger_entry,3371333b-a54a-46e3-b4d9-0ad8443dd6a9,Tech Campus North,2026Q4,2026-10-01,5100,Real Estate Taxes,64165.580000000000,TAXES,NOI,-1,opex,-64165.580000000000,mapped,,,,,,,,
ledger_entry,3371333b-a54a-46e3-b4d9-0ad8443dd6a9,Tech Campus North,2026Q4,2026-10-01,5100,Real Estate Taxes,64165.580000000000,TAXES,NOI,-1,opex,-64165.580000000000,mapped,,,,,,,,
ledger_entry,3371333b-a54a-46e3-b4d9-0ad8443dd6a9,Tech Campus North,2026Q4,2026-10-01,5200,Insurance,85554.110000000000,INSURANCE,NOI,-1,opex,-85554.110000000000,mapped,,,,,,,,
ledger_entry,3371333b-a54a-46e3-b4d9-0ad8443dd6a9,Tech Campus North,2026Q4,2026-10-01,5200,Insurance,85554.110000000000,INSURANCE,NOI,-1,opex,-85554.110000000000,mapped,,,,,,,,
ledger_entry,3371333b-a54a-46e3-b4d9-0ad8443dd6a9,Tech Campus North,2026Q4,2026-10-01,5200,Insurance,85554.110000000000,INSURANCE,NOI,-1,opex,-85554.110000000000,mapped,,,,,,,,
ledger_entry,3371333b-a54a-46e3-b4d9-0ad8443dd6a9,Tech Campus North,2026Q4,2026-10-01,5300,Utilities,85554.110000000000,UTILITIES,NOI,-1,capex,-85554.110000000000,mapped,,,,,,,,
